,Game,Player Estimate,Game id
127,Sid Meier's Civilization: Beyond Earth,"2,606,575",65980
128,Deceit,"2,604,178",466240
129,Sanctum 2,"2,602,292",210770
130,Hotline Miami,"2,584,720",219150
131,Bastion,"2,577,876",107100
132,Zombie Panic! Source,"2,573,292",17500
133,South Park: The Stick of Truth,"2,533,584",213670
134,"Warhammer 40,000: Dawn of War II","2,492,053",15620
135,Rise of the Tomb Raider,"2,491,210",391220
136,Dustforce DX,"2,490,746",65300
137,Dungeon Defenders,"2,483,252",65800
138,Batman: Arkham City - Game of the Year Edition,"2,467,996",200260
139,Block N Load,"2,434,754",299360
140,Guns of Icarus Online,"2,424,726",209080
141,Viscera Cleanup Detail: Shadow Warrior,"2,418,851",255520
142,Toribash,"2,371,160",248570
143,World of Guns: Gun Disassembly,"2,367,076",262410
144,Dino D-Day,"2,364,083",70000
145,Just Cause 3,"2,345,094",225540
146,Survarium,"2,337,644",355840
147,Mafia II,"2,312,872",50130
148,"Papers, Please","2,306,775",239030
149,Dead Island Riptide,"2,299,047",216250
150,Tabletop Simulator,"2,297,649",286160
151,ARK: Survival Of The Fittest,"2,284,297",407530
152,Golf With Your Friends,"2,271,522",431240
153,Batman: Arkham Asylum Game of the Year Edition,"2,240,464",35140
154,XCOM 2,"2,222,475",268500
155,Darkest Dungeon,"2,214,527",262060
156,Napoleon: Total War,"2,178,916",34030
157,Borderlands: The Pre-Sequel,"2,176,285",261640
158,Monaco: What's Yours Is Mine,"2,153,213",113020
159,How to Survive 2,"2,150,505",360170
160,Banished,"2,147,445",242920
161,Fallen Earth Free2Play,"2,139,999",113420
162,Sanctum,"2,088,528",91600
163,Total War: WARHAMMER,"2,085,605",364360
164,Transformice,"2,070,157",335240
165,Codename CURE,"2,044,268",355180
166,Serious Sam 3: BFE,"2,029,621",41070
167,Metro 2033 Redux,"2,025,648",286690
168,Stick Fight: The Game,"2,007,237",674940
169,Plague Inc: Evolved,"2,002,770",246620
170,Tropico 4,"2,000,449",57690
171,Natural Selection 2,"1,993,899",4920
172,Europa Universalis IV,"1,983,657",236850
173,Stellaris,"1,967,015",281990
174,Star Conflict,"1,960,641",212070
175,Gear Up,"1,922,501",214420
176,POSTAL 2,"1,911,217",223470
177,GunZ 2: The Second Duel,"1,895,812",242720
178,ArcheBlade,"1,886,025",207230
179,Surgeon Simulator,"1,879,150",233720
180,The Long Dark,"1,875,963",305620
181,Broforce,"1,863,667",274190
182,Depth,"1,853,782",274940
183,Line of Sight,"1,853,533",436520
184,Source Filmmaker,"1,852,569",1840
185,Batman: Arkham Origins,"1,851,868",209000
186,Warhammer: End Times - Vermintide,"1,843,514",235540
187,Risk of Rain,"1,825,993",248820
188,AirMech Strike,"1,823,483",206500
189,America's Army: Proving Grounds,"1,823,295",203290
190,Wolfenstein: The New Order,"1,819,928",201810
191,Sniper Elite 3,"1,810,081",238090
192,Alan Wake,"1,804,210",108710
193,Alien Swarm: Reactive Drop,"1,788,990",563560
194,Mad Max,"1,775,140",234140
195,METAL GEAR SOLID V: THE PHANTOM PAIN,"1,750,593",287700
196,Max Payne 3,"1,740,909",204100
197,Cuphead,"1,735,419",268910
198,Worms Revolution,"1,730,275",200170
199,Crossout,"1,727,005",386180
200,Tropico 5,"1,718,552",245620
201,Factorio,"1,706,659",427520
202,BRINK,"1,700,604",22350
203,Game Dev Tycoon,"1,696,896",239820
204,Champions Online,"1,691,316",9880
205,Gang Beasts,"1,689,567",285900
206,Emily is Away,"1,689,541",417860
207,Divinity: Original Sin 2,"1,688,895",435150
208,Darksiders,"1,683,431",50620
209,Planet Coaster,"1,682,734",493340
210,Shadow Warrior,"1,648,323",233130
211,Plants vs. Zombies GOTY Edition,"1,647,028",3590
212,Car Mechanic Simulator 2015,"1,631,855",320300
213,Skullgirls,"1,621,794",245170
214,Contagion,"1,616,994",238430
215,Assassinâ€™s Creed IV Black Flag,"1,616,095",242050
216,Trine Enchanted Edition,"1,604,101",35700
217,Squad,"1,602,466",393380
218,L.A. Noire,"1,596,369",110800
219,AudioSurf,"1,561,882",12900
220,Mark of the Ninja,"1,559,947",214560
221,BioShock 2,"1,558,279",8850
222,Endless Space - Collection,"1,549,005",208140
223,HITMAN,"1,534,824",236870
224,ShellShock Live,"1,529,238",326460
225,STAR WARS Knights of the Old Republic II - The Sith Lords,"1,529,038",208580
226,Endless Legend,"1,516,227",289130
227,SEGA Mega Drive and Genesis Classics,"1,514,485",34270
228,How to Survive,"1,514,177",250400
229,Hero Siege,"1,502,327",269210
230,Divinity: Original Sin - Enhanced Edition,"1,501,547",373420
231,GRID 2,"1,498,449",44350
232,Metro: Last Light Redux,"1,492,907",287390
233,Fractured Space,"1,489,602",310380
234,SNOW,"1,487,372",244930
235,Rogue Legacy,"1,479,581",241600
236,Grim Dawn,"1,464,229",219990
237,Yu-Gi-Oh! Duel Links,"1,461,356",601510
238,Business Tour - Online Multiplayer Board Game,"1,457,596",397900
239,Mortal Kombat X,"1,455,905",307780
240,DARK SOULS II: Scholar of the First Sin,"1,453,157",335300
241,Quake Live,"1,444,119",282440
242,Sleeping Dogs,"1,432,733",202170
243,Call of Duty: Ghosts,"1,424,741",209160
244,Black Desert Online,"1,413,060",582660
245,Bloons TD Battles,"1,410,438",444640
246,Batman: Arkham Knight,"1,396,715",208650
247,No Man's Sky,"1,396,577",275850
248,SPINTIRES,"1,392,564",263280
249,Age of Mythology: Extended Edition,"1,369,504",266840
250,Deus Ex: Human Revolution - Director's Cut,"1,358,070",238010
251,Hearts of Iron IV,"1,352,834",394360
252,Total War: ATTILA,"1,331,963",325610
253,Transistor,"1,329,184",237930
254,Altitude,"1,321,782",41300
255,Geometry Dash,"1,317,156",322170
256,Resident Evil 6 / Biohazard 6,"1,317,100",221040
257,Thief,"1,313,521",239160
258,Ultra Street Fighter IV,"1,306,698",45760
259,Who's Your Daddy,"1,305,248",427730
260,The Escapists,"1,296,849",298630
261,Scribblenauts Unlimited,"1,296,525",218680
262,Double Action: Boogaloo,"1,293,392",317360
263,BioShock Remastered,"1,289,273",409710
264,Worms Reloaded,"1,289,109",22600
265,"Warhammer 40,000: Dawn of War II Chaos Rising","1,285,276",20570
266,Injustice: Gods Among Us Ultimate Edition,"1,279,176",242700
267,FEZ,"1,276,275",224760
268,Pillars of Eternity,"1,275,530",291650
269,DARK SOULS II,"1,266,678",236430
270,Warhammer: Vermintide 2,"1,252,257",552500
271,Brutal Legend,"1,235,714",225260
272,Sonic & All-Stars Racing Transformed Collection,"1,232,451",212480
273,Mount & Blade: With Fire & Sword,"1,231,509",48720
274,Aliens vs. Predator,"1,231,126",10680
275,Slime Rancher,"1,216,760",433340
276,Yet Another Zombie Defense,"1,208,380",270550
277,Divinity: Original Sin (Classic),"1,208,170",230230
278,Psychonauts,"1,207,186",3830
279,Layers of Fear,"1,203,631",391720
280,Hand Simulator,"1,199,631",657200
281,Mortal Kombat Komplete Edition,"1,186,829",237110
282,Duck Game,"1,183,631",312530
283,Homefront,"1,182,312",55100
284,NieR:Automata,"1,175,123",524220
285,Deus Ex: Mankind Divided,"1,155,405",337000
286,Iron Snout,"1,154,435",424280
287,Stranded Deep,"1,154,025",313120
288,Verdun,"1,149,077",242860
289,Quake Champions,"1,146,284",611500
290,The Darkness II,"1,145,131",67370
291,Enter the Gungeon,"1,144,928",311690
292,Conan Exiles,"1,140,205",440900
293,Interstellar Marines,"1,140,120",236370
294,FINAL FANTASY VII,"1,136,100",39140
295,Dishonored 2,"1,127,089",403640
296,Call of Duty: Advanced Warfare - Gold Edition,"1,123,642",209650
297,Miscreated,"1,123,426",299740
298,Crypt of the NecroDancer,"1,122,748",247080
299,Slay the Spire,"1,122,489",646570
300,Kingdom: Classic,"1,120,501",368230
301,Orcs Must Die! Unchained,"1,115,355",427270
302,Planetary Annihilation,"1,108,262",233250
303,Lead and Gold: Gangs of the Wild West,"1,107,457",42120
304,Orcs Must Die!,"1,105,153",102600
305,PAC-MAN Championship Edition DX+,"1,102,937",236450
306,"Warhammer 40,000: Space Marine","1,099,682",55150
307,Everlasting Summer,"1,097,391",331470
308,F.E.A.R. 3,"1,096,875",21100
309,Sins of a Solar Empire: Rebellion,"1,092,043",204880
310,Sniper: Ghost Warrior 2,"1,089,080",34870
311,To the Moon,"1,086,773",206440
312,State of Decay,"1,083,514",241540
313,Dungeon of the Endless,"1,080,885",249050
314,"Pirates, Vikings, and Knights II","1,077,057",17570
315,DiRT Rally,"1,073,123",310560
316,Frozen Synapse,"1,065,406",98200
317,Brothers - A Tale of Two Sons,"1,056,557",225080
318,The Walking Dead: Season 2,"1,054,661",261030
319,Day of Infamy,"1,052,510",447820
320,Supreme Commander 2,"1,048,307",40100
321,Super Hexagon,"1,045,138",221640
322,Titan Quest Anniversary Edition,"1,041,965",475150
323,Hotline Miami 2: Wrong Number,"1,037,686",274170
324,WAKFU,"1,036,289",215080
325,Assassin's Creed Origins,"1,030,581",582160
326,Serious Sam HD: The First Encounter,"1,025,064",41000
327,F1 2015,"1,022,816",286570
328,Jotun: Valhalla Edition,"1,022,556",323580
329,Men of War: Assault Squad 2,"1,019,383",244450
330,World of Warships,"1,015,572",552990
331,Braid,"1,012,406",26800
332,The Wolf Among Us,"1,011,210",250320
333,Red Faction Guerrilla Steam Edition,"1,010,775",20500
334,Resident Evil 5/ Biohazard 5,"1,005,089",21690
335,Gauntlet Slayer Edition,"999,905",258970
336,Hollow Knight,"999,648",367520
337,Ori and the Blind Forest,"997,767",261570
338,LEGO Marvel Super Heroes,"991,243",249130
339,DmC: Devil May Cry,"987,543",220440
340,World of Goo,"986,510",22000
341,Ryse: Son of Rome,"984,278",302510
342,Project CARS,"974,136",234630
343,SCP: Secret Laboratory,"973,512",700330
344,HELLDIVERS,"972,013",394510
345,Dragon's Dogma: Dark Arisen,"970,603",367500
346,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,"965,482",349040
347,Kingdoms of Amalur: Reckoning,"963,308",102500
348,Firewatch,"959,053",383870
349,Hammerwatch,"957,659",239070
350,Total War: WARHAMMER II,"955,731",594570
351,Football Manager 2018,"955,508",624090
352,Move or Die,"952,680",323850
353,Rising Storm 2: Vietnam,"952,431",418460
354,Poker Night at the Inventory,"952,378",31280
355,Middle-earth: Shadow of War,"952,284",356190
356,Getting Over It with Bennett Foddy,"948,332",240720
357,"Magic 2014 â€"" Duels of the Planeswalkers","945,492",213850
358,Dust: An Elysian Tail,"943,681",236090
359,Mount Your Friends,"942,809",296470
360,Zombie Army Trilogy,"939,676",301640
361,8BitMMO,"934,749",250420
362,Sniper: Ghost Warrior,"934,745",34830
363,Zula Europe,"931,624",513650
364,Sleeping Dogs: Definitive Edition,"930,591",307690
365,The Talos Principle,"927,932",257510
366,Farming Simulator 15,"916,206",313160
367,Portal Knights,"914,016",374040
368,Spelunky,"906,689",239350
369,Unreal Tournament 3 Black,"902,895",13210
370,Reus,"897,320",222730
371,Call of Duty: WWII,"891,381",476600
372,METAL GEAR SOLID V: GROUND ZEROES,"890,926",311340
373,Duke Nukem Forever,"886,514",57900
374,Strife,"884,685",339280
375,Relic Hunters Zero,"884,002",382490
376,Nation Red,"877,968",39800
377,Hacknet,"877,129",365450
378,Dragons and Titans,"870,310",263500
379,Call of Duty: Infinite Warfare,"869,560",292730
380,Lost Castle,"864,412",434650
381,BRAIN / OUT,"860,262",578310
382,Rise of Nations: Extended Edition,"859,562",287450
383,Magicka 2,"857,543",238370
384,WildStar,"857,109",376570
385,HuniePop,"855,769",339800
386,Mafia III,"855,604",360430
387,Red Orchestra: Ostfront 41-45,"849,053",1200
388,Town of Salem,"847,565",334230
389,The Culling,"843,301",437220
390,SUPERHOT,"842,122",322500
391,Blood and Bacon,"842,105",434570
392,Cortex Command,"841,552",209670
393,Worms Clan Wars,"840,770",233840
394,Keep Talking and Nobody Explodes,"836,026",341800
395,Dead Cells,"834,231",588650
396,Stronghold Crusader 2,"828,019",232890
397,Kingdom Come: Deliverance,"827,988",379430
398,Time Clickers,"826,505",385770
399,Assetto Corsa,"826,288",244210
400,DRAGON BALL XENOVERSE,"824,682",323470
401,theHunter: Call of the Wild,"815,169",518790
402,Raft,"810,826",648800
403,We Were Here,"810,432",582500
404,Poly Bridge,"806,360",367450
405,BeamNG.drive,"804,022",284160
406,Farming Simulator 17,"796,543",447020
407,Deadlight,"795,749",211400
408,Zero Gear,"795,021",18820
409,Nidhogg,"787,983",94400
410,Northgard,"787,294",466560
411,MechWarrior Online Solaris 7,"787,170",342200
412,Red Faction: Armageddon,"785,298",55110
413,School of Dragons,"781,378",332070
414,CS2D,"780,433",666220
415,MOBIUS FINAL FANTASY,"777,318",536930
416,BrainBread 2,"774,021",346330
417,Ultimate Chicken Horse,"770,483",386940
418,E.Y.E: Divine Cybermancy,"768,052",91700
419,Valkyria Chronicles,"767,675",294860
420,Ori and the Blind Forest: Definitive Edition,"764,826",387290
421,Age of Wonders III,"764,290",226840
422,VVVVVV,"763,558",70300
423,Legend of Grimrock,"762,137",207170
424,They Are Billions,"755,147",644930
425,Defy Gravity Extended,"754,043",96100
426,Space Pirates and Zombies,"753,148",107200
427,LEGO Worlds,"752,946",332310
428,Universe Sandbox,"752,402",72200
429,Endless Space 2,"750,761",392110
430,The Banner Saga,"747,734",237990
431,Baldur's Gate: Enhanced Edition,"745,407",228280
432,Deponia,"743,347",214340
433,Lords Of The Fallen,"742,534",265300
434,SUNLESS SEA,"740,790",304650
435,The Evil Within,"740,543",268050
436,Primal Carnage,"731,052",215470
437,EVGA Precision XOC,"730,012",268850
438,Homeworld Remastered Collection,"728,091",244160
439,The Incredible Adventures of Van Helsing,"726,646",215530
440,Bendy and the Ink Machine,"721,168",622650
441,Dwarfs - F2P,"720,104",213650
442,Sniper Elite 4,"715,583",312660
443,Youtubers Life,"714,623",428690
444,Lethal League,"714,007",261180
445,Risen 2: Dark Waters,"713,807",40390
446,DEFCON,"708,655",1520
447,Monday Night Combat,"708,500",63200
448,Atlas Reactor,"707,718",402570
449,FINAL FANTASY XIII,"707,712",292120
450,resident evil 4 / biohazard 4,"704,953",254700
451,Prey,"704,179",480490
452,Two Worlds II HD,"703,263",7520
453,Gunpoint,"702,654",206190
454,Viscera Cleanup Detail,"701,439",246900
455,METAL GEAR RISING: REVENGEANCE,"691,324",235460
456,Fallout: New Vegas,"690,496",22490
457,Democracy 3,"688,243",245470
458,Card Hunter,"688,214",293260
459,SpaceChem,"682,706",92800
460,"Warhammer 40,000: Dawn of War III","680,572",285190
461,Frostpunk,"679,334",323190
462,LawBreakers,"674,335",350280
463,One Finger Death Punch,"673,342",264200
464,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,"671,888",234670
465,Poker Night 2,"671,540",234710
466,Boring Man - Online Tactical Stickman Combat,"670,347",346120
467,INSIDE,"669,904",304430
468,The Red Solstice,"668,962",265590
469,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,"668,829",418370
470,Steel Ocean,"661,286",390670
471,Stories: The Path of Destinies,"660,285",439190
472,Resident Evil Revelations 2 / Biohazard Revelations 2,"658,030",287290
473,Minion Masters,"656,913",489520
474,METAL SLUG 3,"651,482",250180
475,Sonic Generations Collection,"647,871",71340
476,BIT.TRIP RUNNER,"647,721",63710
477,Outland,"646,962",305050
478,Nuclear Dawn,"640,448",17710
479,Dungeon Siege III,"638,566",39160
480,Rock of Ages,"636,120",22230
481,The Descendant,"633,209",351940
482,Friday the 13th: The Game,"629,644",438740
483,Dead Rising 2,"627,795",45740
484,Wasteland 2: Director's Cut,"626,811",240760
485,Painkiller Hell & Damnation,"625,428",214870
486,Transmissions: Element 120,"625,220",365300
487,Hand of Fate,"624,982",266510
488,Wargame: European Escalation,"621,393",58610
489,Pixel Piracy,"618,061",264140
490,Race The Sun,"615,654",253030
491,Only If,"614,140",298260
492,Blade Symphony,"610,347",225600
493,Machinarium,"609,675",40700
494,Doom 3: BFG Edition,"604,250",208200
495,FORCED: Slightly Better Edition,"603,718",249990
496,Woodle Tree Adventures,"603,408",299460
497,Beat Hazard,"601,573",49600
498,Talisman: Digital Edition,"601,352",247000
499,Homefront: The Revolution,"600,976",223100
500,Wolfenstein: The Old Blood,"600,610",350080
501,Overcooked,"600,140",448510
502,Game of Thrones - A Telltale Games Series,"598,965",330840
503,Lucius,"596,725",218640
504,Darksiders Warmastered Edition,"596,551",462780
505,Black Mesa,"595,780",362890
506,Eador. Masters of the Broken World,"595,663",232050
507,Hyper Light Drifter,"595,090",257850
508,Modern Combat Versus,"594,344",723780
509,Satellite Reign,"592,993",268870
510,Tales from the Borderlands,"592,856",330830
511,Heroes of Might & Magic III - HD Edition,"591,573",297000
512,Farming Simulator 2013 Titanium Edition,"590,518",220260
513,Cave Story+,"590,104",200900
514,FaceRig,"589,693",274920
515,Viridi,"587,504",375950
516,Remember Me,"587,213",228300
517,Guns and Robots,"587,059",293540
518,Starpoint Gemini 2,"586,707",236150
519,Dungeons 2,"584,679",262280
520,Shovel Knight: Treasure Trove,"583,872",250760
521,GRID Autosport,"583,602",255220
522,Fable Anniversary,"582,271",288470
523,LEGO The Lord of the Rings,"582,228",214510
524,Thomas Was Alone,"581,719",220780
525,FINAL FANTASY VIII,"581,505",39150
526,Octodad: Dadliest Catch,"581,181",224480
527,I am Bread,"579,156",327890
528,60 Seconds!,"578,493",368360
529,NEKOPARA Vol. 1,"578,066",333600
530,ABZU,"577,340",384190
531,Sniper Elite: Nazi Zombie Army,"577,105",227100
532,TOXIKK,"575,390",324810
533,Planetary Annihilation: TITANS,"569,681",386070
534,FINAL FANTASY X/X-2 HD Remaster,"568,989",359870
535,Fortified,"568,944",334210
536,Anomaly: Warzone Earth,"567,765",91200
537,Armello,"565,864",290340
538,NEKOPARA Vol. 0,"565,127",385800
539,Kingdoms and Castles,"563,737",569480
540,Tyranny,"562,631",362960
541,The Flame in the Flood,"561,716",318600
542,Darksiders II Deathinitive Edition,"560,050",388410
543,Defense Grid: The Awakening,"558,114",18500
544,Pinball Arcade,"555,716",238260
545,Viscera Cleanup Detail: Santa's Rampage,"555,426",265210
546,Amnesia: A Machine for Pigs,"554,955",239200
547,Dungeons of Dredmor,"554,550",98800
548,BlackShot: Mercenary Warfare FPS,"553,384",433350
549,Soldier Front 2,"552,866",239660
550,Lara Croft and the Guardian of Light,"550,882",35130
551,Wolfenstein II: The New Colossus,"549,457",612880
552,Door Kickers,"549,148",248610
553,Mini Metro,"547,876",287980
554,Killer is Dead - Nightmare Edition,"546,981",261110
555,Blackwake,"546,456",420290
556,TEKKEN 7,"541,238",389730
557,Punch Club,"541,121",394310
558,Duelyst,"538,747",291410
559,Gone Home,"538,219",232430
560,Guacamelee! Gold Edition,"538,061",214770
561,NBA 2K18,"537,845",577800
562,Golf It!,"537,751",571740
563,Saints Row: Gat out of Hell,"536,513",301910
564,Crush Crush,"535,661",459820
565,DRAGON BALL XENOVERSE 2,"535,273",454650
566,Turbo Pug DX,"534,698",513780
567,Life is Feudal: Your Own,"534,443",290080
568,Jet Set Radio,"533,153",205950
569,Dungeon Fighter Online,"531,876",495910
570,Shadowrun: Dragonfall - Director's Cut,"530,607",300550
571,You Have to Win the Game,"530,340",286100
572,Ace Combat Assault Horizon - Enhanced Edition,"527,228",228400
573,Out There Somewhere,"521,927",263980
574,Alan Wake's American Nightmare,"521,355",202750
575,Grim Fandango Remastered,"516,584",316790
576,3DMark,"515,275",223850
577,Murdered: Soul Suspect,"514,458",233290
578,Craft The World,"509,631",248390
579,Kingdom: New Lands,"509,466",496300
580,Bold New World,"505,953",581620
581,Resident Evil Revelations / Biohazard Revelations,"503,330",222480
582,"Warhammer 40,000: Eternal Crusade","502,562",375230
583,NBA 2K17,"501,303",385760
584,Offworld Trading Company,"499,550",271240
585,Blockstorm,"499,027",263060
586,100% Orange Juice,"498,987",282800
587,Soda Dungeon,"497,334",564710
588,Learn to Fly 3,"496,965",589870
589,Reigns,"496,869",474750
590,The Witness,"494,237",210970
591,Nuclear Throne,"492,848",242680
592,Battleborn,"492,052",394230
593,Car Mechanic Simulator 2018,"491,057",645630
594,SOMA,"490,677",282140
595,TerraTech,"489,971",285920
596,FINAL FANTASY XV WINDOWS EDITION,"489,872",637650
597,The Escapists 2,"489,056",641990
598,Of Guards And Thieves,"488,098",302590
599,Worms Ultimate Mayhem,"486,841",70600
600,Realm Grinder,"486,185",610080
601,Styx: Master of Shadows,"485,922",242640
602,Sniper Elite: Nazi Zombie Army 2,"485,909",247910
603,The Swapper,"484,015",231160
604,Forts,"483,174",410900
605,X3: Terran Conflict,"482,728",2820
606,Jurassic World Evolution,"481,240",648350
607,Governor of Poker 3,"479,096",436150
608,Bad Rats: the Rats' Revenge,"476,787",34900
609,Galactic Civilizations III,"476,035",226860
610,NBA 2K16,"469,791",370240
611,Puzzle Pirates,"469,196",99910
612,RUNNING WITH RIFLES,"468,632",270150
613,Life is Strange: Before the Storm,"467,572",554620
614,Pixel Puzzles Ultimate,"461,488",351030
615,Mirror,"456,954",644560
616,Aliens: Colonial Marines Collection,"456,851",49540
617,THE KING OF FIGHTERS XIII STEAM EDITION,"456,361",222940
618,GUNS UP!,"455,442",446150
619,Victor Vran ARPG,"453,908",345180
620,Teleglitch: Die More Edition,"453,247",234390
621,Turmoil,"452,658",361280
622,Magic: The Gathering - Duels of the Planeswalkers 2013,"452,484",97330
623,CastleMiner Z,"451,422",253430
624,Cities in Motion 2,"451,407",225420
625,Prismata,"451,302",490220
626,Kane & Lynch 2: Dog Days,"448,371",28000
627,UnEpic,"446,738",233980
628,ibb & obb,"446,523",95400
629,Batla,"445,267",338180
630,DRAGON BALL FighterZ,"444,795",678950
631,Superbrothers: Sword & Sworcery EP,"439,828",204060
632,ICEY,"437,615",553640
633,Call to Arms,"436,655",302670
634,Ball 3D: Soccer Online,"434,225",485610
635,A Story About My Uncle,"433,874",278360
636,Terra Incognita ~ Chapter One: The Descendant,"433,639",347560
637,Written in the Sky,"433,025",416130
638,Evoland,"431,669",233470
639,Piercing Blow,"428,413",382850
640,DLC Quest,"425,947",230050
641,Bayonetta,"424,901",460790
642,Hellblade: Senua's Sacrifice,"422,733",414340
643,Murder Miners,"421,780",274900
644,Friday the 13th: Killer Puzzle,"420,843",795100
